"","ID","Sample.Plate","Species","Region","Site","CollectionDate","Season","Rain","Depth","Symbiodinium","Breviolum","Cladocopium","Durusdinium","dom","background","totalSym","use","count","X"
"1","urban_083","Sample 1_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","22-Oct","Fall","Wet",8.2,0,0,1,0,"C","",1,"y",1,NA
"2","urban_157b rex","Sample 2_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",6.6,0,0.004854813,0.183975269,0.811169918,"D","B",1,"y",1,NA
"3","urban_160b","Sample 3_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.3,0,0.005460694,0.993774272,0.000765034,"C","BD",1,"y",1,NA
"4","urban_162b","Sample 4_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.3,0,0,0.999441425,0.000558575,"C","D",1,"y",1,NA
"5","urban_164","Sample 5_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0,0.002651363,0.995721556,0.001627082,"C","BD",1,"y",1,NA
"6","urban_165","Sample 6_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0,0.000526834,0.099424641,0.900048525,"D","BC",1,"y",1,NA
"7","urban_167","Sample 7_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0,0.007524857,0.770803906,0.221671237,"C","B",1,"y",1,NA
"8","urban_168","Sample 8_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0,0,0.998146476,0.001853524,"C","D",1,"y",1,NA
"9","urban_169","Sample 9_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0,0.000744195,0.997652101,0.001603704,"C","BD",1,"y",1,NA
"10","urban_170","Sample 10_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0,0.003380729,0.996619271,0,"C","B",1,"y",1,NA
"11","urban_172","Sample 11_UrbanPopgen_Plate01_6-29-23_data.csv","Mcav","Miami reef","Emerald Reef","23-Jan","Winter","Dry",7.5,0,0.001080793,0.987130698,0.011788509,"C","BD",1,"y",1,NA
"12","urban_313","Sample 1_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami reef","Rainbow Reef","23-Jun","Summer","Wet",4.6,0,0.001006706,0.99175729,0.007236004,"C","BD",1,"y",1,NA
"13","urban_316","Sample 2_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami reef","Rainbow Reef","23-Jun","Summer","Wet",5.2,0,0,0.998466362,0.001533638,"C","D",1,"y",1,NA
"14","urban_255","Sample 3_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.6,0,0,0,1,"D","",1,"y",1,NA
"15","urban_269","Sample 4_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.5,0,0,0,1,"D","",1,"y",1,NA
"16","urban_270","Sample 5_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","Belle Isle","23-Apr","Spring","Dry",0.3,0,0,0,1,"D","",1,"y",1,NA
"17","urban_112","Sample 6_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,0,1,"D","",1,"y",1,NA
"18","urban_115","Sample 7_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,0,1,"D","",1,"y",1,NA
"19","M1","Sample 8_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","22-Oct","Fall","Wet",0.9,0,0,0,1,"D","",1,"y",1,NA
"20","urban_177","Sample 9_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.3,0,0,0,1,"D","",1,"y",1,NA
"21","urban_178","Sample 10_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.5,0,0,0.00668643,0.99331357,"D","C",1,"y",1,NA
"22","urban_179","Sample 11_UrbanPopgen_Plate02_6-29-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.5,0,0.00141971,0,0.99858029,"D","B",1,"y",1,NA
"23","urban_189","Sample 1_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.012106527,0,0.987893473,"D","B",1,"y",1,NA
"24","urban_191","Sample 2_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0.000523549,0,0.999476451,"D","B",1,"y",1,NA
"25","urban_201","Sample 5_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,"y",1,NA
"26","urban_205","Sample 6_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,"y",1,NA
"27","urban_002","Sample 9_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0.000879341,0.566066195,0.433054464,"C","B",1,"y",1,NA
"28","urban_005","Sample 10_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0.010740188,0.000107178,0.989152634,"D","BC",1,"y",1,NA
"29","urban_009","Sample 12_UrbanPopgen_Plate03_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"30","urban_010","Sample 1_UrbanPopgen_Plate04_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0.001447756,0,0.998552244,"D","B",1,"y",1,NA
"31","urban_135","Sample 1_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"32","urban_147 rex","Sample 2_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,8.62542e-05,0.999913746,"D","C",1,"y",1,NA
"33","urban_154","Sample 3_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"34","urban_157 rex","Sample 4_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"35","urban_158 rex","Sample 5_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0.000111548,0.999888452,"D","C",1,"y",1,NA
"36","urban_162 rex","Sample 6_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,"y",1,NA
"37","urban_163 rex","Sample 7_UrbanPopgen_Plate05_6-30-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,5.11589e-05,0.999948841,"D","C",1,"y",1,NA
"38","nmfs_011","Sample 8_UrbanPopgen_Plate05_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Jan","Winter","Dry",6.1,0,0.904879727,0.060758503,0.03436177,"B","CD",1,"y",1,NA
"39","nmfs_012","Sample 9_UrbanPopgen_Plate05_6-30-23_data.csv","Ofav","Miami reef","Emerald Reef","21-Jan","Winter","Dry",6.7,0,0.982581479,9.77497e-06,0.017408746,"B","CD",1,"y",1,NA
